run_num,kmer,context_window,epochs,run,Accuracy,F1 Score,Matthews Correlation,Precision,Recall,Runtime,Samples/sec,Steps/sec
116,12,256,15,1,0.5399402398417077,0.25173763568604113,0.09272351239026015,0.2830828831359188,0.6328694415708885,108.2888,3458.318,108.081
117,12,256,15,2,0.5027677124249327,0.240175101416106,0.08745850367418168,0.2811900522198408,0.6342753811036533,106.9204,3502.579,109.465
118,12,512,15,1,0.5353607639046508,0.24206356228435258,0.08884447689064032,0.277873432629944,0.6177065757059299,110.6285,3385.177,105.796
119,12,512,15,2,0.5220041816089315,0.24741150385617233,0.09890520899757137,0.2835266348599602,0.6394529734890354,109.6866,3414.245,106.704
120,12,1024,15,1,0.5316678104230474,0.24729543325460218,0.09291162918000404,0.28158310061275743,0.6332710091247248,107.3508,3488.536,109.026
121,12,1024,15,2,0.5401538597104917,0.2487752032682347,0.09465629599567552,0.2814757026764939,0.6312292077772812,108.8823,3439.466,107.492
122,24,48,15,1,0.5219774791253334,0.2441421566014281,0.08670145869538926,0.28069486950455197,0.6192090227145457,106.4184,3519.1,109.981
123,24,48,15,2,0.5410804358913422,0.25995703239908263,0.0955362390398681,0.28798078275682454,0.6295413589809269,108.8561,3440.295,107.518
124,24,64,15,1,0.5344048149918423,0.2483800517110082,0.09420648875722737,0.2819944613482105,0.6309816144819789,107.3019,3490.125,109.075
125,24,64,15,2,0.5122364131087832,0.24360516179049455,0.08971854373257501,0.28210759214490816,0.6155493262881865,105.8218,3538.939,110.601
126,24,128,15,1,0.5213366195189815,0.2502811818753008,0.09435623789052931,0.2851242874732163,0.6222694548575342,110.5737,3386.853,105.848
127,24,128,15,2,0.5462900904413119,0.25141584780127557,0.09635341887233767,0.2822647964852699,0.6186011215006428,109.0703,3433.536,107.307
128,24,256,15,1,0.5079800372232621,0.2392033410213411,0.08789122533866545,0.2798925598704377,0.6194230144641106,112.3247,3334.059,104.198
129,24,256,15,2,0.516164348446049,0.25053255641754585,0.09046961935245823,0.2854982685184778,0.6362236916737105,108.542,3450.251,107.829
130,24,512,15,1,0.5379055105915401,0.25077545028690645,0.09535847885587995,0.28296665602953114,0.6284602490408675,108.0736,3465.204,108.297
131,24,512,15,2,0.5455317399071288,0.2547006299752605,0.0953383875703742,0.28428061123953025,0.6406898140542383,109.8072,3410.495,106.587
132,24,1024,15,1,0.534129779410783,0.24914540204780802,0.09134985246090495,0.28222471087454476,0.6169389933921036,106.8907,3503.551,109.495
133,24,1024,15,2,0.514428687012179,0.2425456316715776,0.08897319740901014,0.2809428108238017,0.6147715605625051,108.382,3455.344,107.988
134,48,48,15,1,0.5486479197430153,0.25271879445697587,0.09568276297209745,0.28267242220334426,0.6207344654421904,107.9973,3467.65,108.373
